nm	mua[cm-1]	musp[cm-1]
1338.0	0.2684999999999999	3.115
1340.0	0.2675	3.108
1342.0	0.2708	3.1
1344.0	0.2686	3.091
1346.0	0.2725	3.087
1348.0	0.2792	3.079
1350.0	0.2809	3.065
1352.0	0.2954	3.0620000000000003
1354.0	0.3134	3.055
1356.0	0.3379	3.044
1358.0	0.3791	3.034
1360.0	0.4204	3.035
1362.0	0.4541	3.031
1364.0	0.4827	3.015
1366.0	0.495	3.016
1368.0	0.5196	3.01
1370.0	0.5559999999999999	2.998
1372.0	0.5968	3.001
1374.0	0.6429	2.999
1376.0	0.6936	3.003
1378.0	0.745	3.006
1380.0	0.804	2.995
1382.0	0.8573	2.983
1384.0	0.9062	2.9720000000000004
1386.0	0.9618	2.99
1388.0	1.0539999999999998	2.971
1390.0	1.131	2.976
1392.0	1.2	2.98
1394.0	1.224	2.974
1396.0	1.187	2.958
1398.0	1.096	2.93
1400.0	1.014	2.909
1402.0	0.952	2.897
1404.0	0.9355	2.887
1406.0	0.9414	2.873
1408.0	0.9624	2.863
1410.0	1.007	2.861
1412.0	1.053	2.859
1414.0	1.082	2.859
1416.0	1.082	2.8549999999999995
1418.0	1.056	2.8120000000000003
1420.0	0.9935	2.806
1422.0	0.9537	2.79
1424.0	0.9214	2.785
1426.0	0.9016	2.762
1428.0	0.8860999999999999	2.76
1430.0	0.8824	2.75
1432.0	0.8906000000000001	2.733
1434.0	0.8788	2.744
1436.0	0.8673	2.734
1438.0	0.8441	2.719
1440.0	0.8248	2.702
1442.0	0.7931	2.6950000000000003
1444.0	0.7585999999999999	2.699
1446.0	0.7405	2.6790000000000003
1448.0	0.7118	2.6790000000000003
1450.0	0.6891999999999999	2.658
1452.0	0.6587999999999999	2.638
1454.0	0.6313000000000001	2.656
1456.0	0.6105	2.64
1458.0	0.5837	2.6340000000000003
1460.0	0.5656	2.611
1462.0	0.5502	2.6100000000000003
1464.0	0.5378999999999999	2.603
1466.0	0.5191	2.602
1468.0	0.5103	2.593
1470.0	0.5018	2.583
1472.0	0.4891999999999999	2.569
1474.0	0.4712	2.569
1476.0	0.4605999999999999	2.566
1478.0	0.4438	2.561
1480.0	0.4347999999999999	2.5540000000000003
1482.0	0.4179	2.547
1484.0	0.4119	2.542
1486.0	0.4048	2.54
1488.0	0.3928	2.5340000000000003
1490.0	0.3886	2.532
1492.0	0.3796	2.5330000000000004
1494.0	0.3737999999999999	2.525
1496.0	0.3653	2.516
1498.0	0.3633	2.511
1500.0	0.3524	2.51
1502.0	0.3456999999999999	2.5
1504.0	0.3339999999999999	2.502
1506.0	0.3259	2.499
1508.0	0.3181	2.496
1510.0	0.3125	2.496
1512.0	0.3023	2.477
1514.0	0.2955	2.476
1516.0	0.2946	2.4690000000000003
1518.0	0.2924	2.462
1520.0	0.2875	2.463
1522.0	0.283	2.456
1524.0	0.2830999999999999	2.453
1526.0	0.2789	2.436
1528.0	0.2728	2.439
1530.0	0.2703	2.436
1532.0	0.2686	2.437
1534.0	0.2628	2.433
1536.0	0.2597	2.4290000000000003
1538.0	0.2562	2.423
1540.0	0.2496999999999999	2.426
1542.0	0.2430999999999999	2.418
1544.0	0.2327999999999999	2.412
1546.0	0.2224	2.413
1548.0	0.2179	2.405
1550.0	0.2101	2.399
1552.0	0.2029	2.392
1554.0	0.2038999999999999	2.39
1556.0	0.1994999999999999	2.386
1558.0	0.1927999999999999	2.384
1560.0	0.1944	2.385
1562.0	0.1915	2.377
1564.0	0.1883	2.377
1566.0	0.186	2.355
1568.0	0.1898	2.352
1570.0	0.1861	2.349
1572.0	0.1838	2.354
1574.0	0.1858	2.358
1576.0	0.1837	2.339
1578.0	0.1841999999999999	2.343
1580.0	0.1837	2.337
1582.0	0.189	2.33
1584.0	0.1914	2.333
1586.0	0.1909	2.3280000000000003
1588.0	0.1941999999999999	2.325
1590.0	0.1936999999999999	2.3280000000000003
1592.0	0.1941999999999999	2.318
1594.0	0.1968	2.324
1596.0	0.2008	2.319
1598.0	0.2038999999999999	2.317
