nm	mua[cm-1]	musp[cm-1]
1400.0	1.215	1.826
1402.0	1.225	1.804
1404.0	1.237	1.818
1406.0	1.235	1.8010000000000002
1408.0	1.168	1.785
1410.0	1.067	1.779
1412.0	0.9831	1.764
1414.0	0.8876000000000001	1.75
1416.0	0.7782	1.721
1418.0	0.6809	1.727
1420.0	0.6133000000000001	1.7100000000000002
1422.0	0.5763	1.706
1424.0	0.5598000000000001	1.6969999999999998
1426.0	0.5428000000000001	1.706
1428.0	0.5323	1.682
1430.0	0.504	1.672
1432.0	0.4791999999999999	1.664
1434.0	0.4543	1.665
1436.0	0.4417999999999999	1.656
1438.0	0.426	1.65
1440.0	0.4037	1.644
1442.0	0.3805	1.638
1444.0	0.3621	1.63
1446.0	0.3432	1.6270000000000002
1448.0	0.3228	1.6189999999999998
1450.0	0.3051	1.617
1452.0	0.2938	1.616
1454.0	0.2943	1.612
1456.0	0.2898	1.6
1458.0	0.2942	1.594
1460.0	0.2983	1.598
1462.0	0.3046	1.603
1464.0	0.307	1.593
1466.0	0.3104	1.5870000000000002
1468.0	0.3122	1.5779999999999998
1470.0	0.2981	1.5779999999999998
1472.0	0.2915	1.58
1474.0	0.2904	1.57
1476.0	0.2871	1.573
1478.0	0.2828	1.563
1480.0	0.2875	1.5579999999999998
1482.0	0.2845	1.56
1484.0	0.2855999999999999	1.563
1486.0	0.2947	1.557
1488.0	0.2956999999999999	1.555
1490.0	0.3011	1.554
1492.0	0.3053	1.545
1494.0	0.3053	1.543
1496.0	0.3062	1.533
1498.0	0.316	1.535
1500.0	0.3336	1.545
1502.0	0.3614	1.535
1504.0	0.3842	1.54
1506.0	0.4008	1.539
1508.0	0.4173	1.531
1510.0	0.4453	1.534
1512.0	0.471	1.527
1514.0	0.5007	1.525
1516.0	0.5191	1.525
1518.0	0.5254000000000001	1.527
1520.0	0.54	1.5060000000000002
1522.0	0.5362	1.513
1524.0	0.5441	1.519
1526.0	0.5455	1.517
1528.0	0.5476000000000001	1.509
1530.0	0.5404	1.51
1532.0	0.5373	1.507
1534.0	0.5328999999999999	1.5060000000000002
1536.0	0.5353	1.499
1538.0	0.5381	1.493
1540.0	0.5356000000000001	1.496
1542.0	0.5341	1.497
1544.0	0.5354	1.495
1546.0	0.5321	1.497
1548.0	0.5304	1.48
1550.0	0.5317000000000001	1.48
1552.0	0.528	1.475
1554.0	0.5243	1.467
1556.0	0.5131	1.465
1558.0	0.487	1.467
1560.0	0.4696	1.459
1562.0	0.4578	1.451
1564.0	0.4314	1.443
1566.0	0.4059999999999999	1.452
1568.0	0.38	1.441
1570.0	0.3705	1.431
1572.0	0.3474	1.429
1574.0	0.327	1.4380000000000002
1576.0	0.3119	1.432
1578.0	0.2985	1.43
1580.0	0.2892	1.4280000000000002
1582.0	0.285	1.4169999999999998
1584.0	0.2793	1.413
1586.0	0.2715	1.42
1588.0	0.2683999999999999	1.404
1590.0	0.27	1.413
1592.0	0.267	1.411
1594.0	0.2644	1.406
1596.0	0.2646	1.413
1598.0	0.2654	1.4
