nm	mua[cm-1]	musp[cm-1]
1042.0	0.1005	7.003
1044.0	0.09762	6.997
1046.0	0.1023	6.978
1048.0	0.09253	6.959999999999999
1050.0	0.0933	6.9430000000000005
1052.0	0.09297	6.93
1054.0	0.08491	6.917
1056.0	0.08772	6.921
1058.0	0.08403	6.904
1060.0	0.08151	6.867
1062.0	0.08495	6.865
1064.0	0.07149	6.831
1066.0	0.0736	6.779
1068.0	0.072	6.775
1070.0	0.06579	6.7620000000000005
1072.0	0.06973	6.734999999999999
1074.0	0.06371	6.739000000000001
1076.0	0.06308	6.707
1078.0	0.06665	6.702
1080.0	0.05968	6.683
1082.0	0.06466	6.646999999999999
1084.0	0.06262	6.654999999999999
1086.0	0.05575	6.627999999999999
1088.0	0.06364	6.591
1090.0	0.0549	6.615
1092.0	0.05563	6.58
1094.0	0.05968	6.554
1096.0	0.0482699999999999	6.552
1098.0	0.0567	6.542
1100.0	0.05558	6.523
1102.0	0.05266	6.484999999999999
1104.0	0.05988	6.489000000000001
1106.0	0.0527799999999999	6.475999999999999
1108.0	0.05656	6.45
1110.0	0.06298	6.429
1112.0	0.05434	6.401
1114.0	0.06527	6.3870000000000005
1116.0	0.0645	6.398000000000001
1118.0	0.06406	6.372999999999999
1120.0	0.07372	6.363
1122.0	0.06934	6.352
1124.0	0.07229	6.333
1126.0	0.0786	6.327
1128.0	0.07867	6.314
1130.0	0.09072	6.296
1132.0	0.09499	6.273999999999999
1134.0	0.1002	6.258
1136.0	0.1173	6.244
1138.0	0.1231	6.231
1140.0	0.1429	6.218
1142.0	0.1585	6.214
1144.0	0.176	6.196000000000001
1146.0	0.2043	6.159
1148.0	0.2315	6.151999999999999
1150.0	0.273	6.146000000000001
1152.0	0.3108	6.118
1154.0	0.3419	6.104000000000001
1156.0	0.3809	6.090999999999999
1158.0	0.422	6.069
1160.0	0.4685	6.051
1162.0	0.5357	6.04
1164.0	0.6001	6.021999999999999
1166.0	0.6540999999999999	6.0
1168.0	0.6927	5.972
1170.0	0.7090000000000001	5.954000000000001
1172.0	0.7091999999999999	5.939
1174.0	0.7184	5.938
1176.0	0.7434000000000001	5.908
1178.0	0.7702	5.899
1180.0	0.8119	5.888
1182.0	0.866	5.878
1184.0	0.9362	5.854
1186.0	1.039	5.823
1188.0	1.114	5.81
1190.0	1.186	5.789
1192.0	1.253	5.77
1194.0	1.308	5.743
1196.0	1.3769999999999998	5.73
1198.0	1.4380000000000002	5.708
1200.0	1.496	5.689
1202.0	1.585	5.669
1204.0	1.662	5.663
1206.0	1.763	5.632000000000001
1208.0	1.866	5.617
1210.0	1.924	5.603
1212.0	1.971	5.5920000000000005
1214.0	1.979	5.563000000000001
1216.0	1.932	5.564
1218.0	1.885	5.536
1220.0	1.726	5.542
1222.0	1.5490000000000002	5.534
1224.0	1.374	5.542
1226.0	1.167	5.533
1228.0	1.031	5.537
1230.0	0.9013	5.534
