nm,H2O mua,H2O std,DMSO mua,DMSO std,D2O mua,D2O std,melanin mua,melanin std,corn oil mua,corn oil std,HbO2 mua,HbO2 std,Hb mua,Hb std,melanin DMSO mua,melanin DMSO std
348,,,,,,,17.26695417282865,0.025396639407168648,6.386637341544489,0.043203783072771694,17.24497445860734,0.21688837479633213,19.606926638852773,0.484472369612904,1623.0936922458932,2.387284104273853
350,,,,,,,17.0344915414937,0.024921594353508495,5.712960408699058,0.041779477052139684,16.871392709097158,0.03305440472459737,20.229736056388475,0.10746325740946727,1601.2422049004078,2.3426298692297984
352,,,,,,,16.82882430352338,0.10316808557097885,5.145734427567482,0.04341603137594476,16.570572436595086,0.05797005560032416,20.668224486974182,0.13479472235733966,1581.9094845311977,9.697800043672013
354,,,,,,,16.80757142561313,0.09997424218101851,4.661650058892299,0.05494406284481349,16.12537611883337,0.0,21.26298421412692,0.11899222849502519,1579.9117140076341,9.39757876501574
356,,,,,,,16.51635291141401,0.09421413976562071,4.260942010878623,0.02789346863814432,15.724393039730487,0.14003589965431756,21.70526103856208,0.09321899575598988,1552.5371736729169,8.856129137968347
358,,,,,,,16.335397400489672,0.048295932906416594,3.9134645575037807,0.030988336975240564,15.2542900209708,0.14590670472915557,22.036887527676768,0.47017122210621015,1535.5273556460293,4.53981769320316
360,,,,,,,16.16415391791671,0.023032590526182208,3.611522985001109,0.026762216548127393,14.850613850972026,0.0,22.47449310514769,0.5648285839435521,1519.4304682841707,2.1650635094611275
362,,,,,,,15.983083592904043,0.10030177741565041,3.343252643179728,0.022655137758935837,14.573681766793891,0.0,22.96059225623647,0.08493531596316878,1502.40985773298,9.428367077071139
364,,,,,,,15.714218310016918,0.039454460309085906,3.1093331668543818,0.029923565037907978,14.256650655055921,0.025584206906483043,23.549215074274002,0.9287911827878694,1477.1365211415903,3.7087192690540753
366,,,,,,,15.571886923612318,0.049756838762110574,2.913859074235091,0.022942204431722835,14.07305142570027,0.02681193200571056,23.94012597262511,0.06298366572977714,1463.757370819558,4.677142843638394
368,,,,,,,15.339932161384766,0.048815052071922715,2.756029762981237,0.022104402163974357,14.074889293805498,0.11134243440202765,24.029191120516803,0.7872958216222176,1441.953623170168,4.5886148947607355
370,,,,,,,15.213935738968743,0.03716847226542642,2.6040063251463335,0.016667985345321074,14.07305142570027,0.02681193200571056,24.81344076201408,0.08814072739869455,1430.1099594630618,3.493836392950083
372,,,,,,,15.035836645617001,0.1401434506646548,2.468902485657722,0.022133472174525468,14.25317878488896,0.11395071102426785,24.667474486781742,0.060987704491861666,1413.368644687998,13.173484362477552
374,,,,,,,14.870579562871397,0.08375195396841982,2.333868692307984,0.01930168399891862,14.642029146681395,0.039007780705022733,25.019300589405017,0.061858957413173966,1397.8344789099112,7.872683673031463
376,,,,,,,14.710267128387665,0.13280166624230058,2.1991003651592043,0.015507213410937408,15.16373720508574,0.12371791482634903,25.456542749731256,0.7557140340383242,1382.7651100684404,12.483356626776255
378,,,,,,,14.54133942882518,0.19547787636934974,2.0599689963116288,0.02206614965111182,15.924804689761816,0.0,25.618088835191205,0.09425980955754899,1366.885906309567,18.374920378718876
380,,,,,,,14.30357715288732,0.06767337934303007,1.9244592160161584,0.01818784776589504,16.75618050548967,2.1476637491948515e-15,25.449223244982793,0.09611368607238746,1344.536252371408,6.361297658244826
382,,,,,,,14.18735295478811,0.01979486637221532,1.8022700649945207,0.020490135291836662,17.95171143441914,1.5213873628089711e-15,26.192124195845455,0.9216300320539419,1333.6111777500823,1.86071743898824
384,,,,,,,14.05883218011824,0.03327025292600302,1.6861982988348172,0.018694474824042254,19.29506675544648,1.783265515423631e-15,26.4609218167148,0.9141129949118283,1321.5302249311144,3.1274037750442836
386,,,,,,,13.887682342995783,0.06535083629493083,1.5750065190081848,0.011064923529931542,20.922480608153098,0.05871358669724987,26.293207825788773,0.10363045697717146,1305.4421402416035,6.142978611723498
388,,,,,,,13.711534388749406,2.457082634049786e-15,1.476795935577373,0.016481757880413297,22.60119271027636,0.09678993863594804,26.71487140234365,1.9654214134783272,1288.8842325424441,2.3096576760067985e-13
390,,,,,,,13.564823560256459,0.07205257344419526,1.400272973128855,0.015239699959864749,25.031628929685894,2.3182491218592484e-15,27.281793091813103,0.11354044939698095,1275.093414664107,6.772941903754354
392,,,,,,,13.436515466561941,0.030280608523931857,1.3306861389329518,0.022866644017759407,27.026415209298904,0.1719733995538056,27.291183004770215,0.08093695362471433,1263.0324538568225,2.8463772012495947
394,,,,,,,13.22798687954994,0.05958836602157174,1.272599446783352,0.013947063001957328,28.917691448366426,0.16340101958196973,28.130141476196012,3.448701019467246e-15,1243.4307666776945,5.601306406027744
396,,,,,,,13.119321503057202,0.03818233523651327,1.2202836190273205,0.021731127216162622,32.30922173740158,3.56715730196032e-15,27.958564992322675,0.09676261494798165,1233.216221287377,3.5891395122322476
398,,,,,,,12.909620784534972,0.03395171253557018,1.1725193604093695,0.014684578973467814,,,30.322443270559138,2.403703357979454e-15,1213.5043537462875,3.191460978343597
400,,,,,,,12.845204724146173,0.07247766270842239,1.1262580567051639,0.0305067858195775,,,28.720443797570468,2.403703357979454e-15,1207.4492440697402,6.812900294591705
402,,,,,,,12.673956005092244,0.04045459298618704,1.0792377089358338,0.028373499712124592,,,33.04973976720596,0.1455504880309982,1191.351864478671,3.8027317407015815
404,,,,,,,12.562281653948675,0.027405867208368705,1.0387668917357278,0.02819545534185953,,,31.08484393025562,0.2037706832433975,1180.8544754711754,2.5761515175866583
406,,,,,,,12.397389825203405,0.061306380629486415,1.001521137330846,0.022609886657917633,,,31.234468588641104,0.37453913697724134,1165.35464356912,5.762799779171723
408,,,,,,,12.296890224271692,0.0387889154683115,0.9614246845877422,0.019177283307909677,,,,,1155.907681081539,3.646158054021281
410,,,,,,,12.129785403010894,0.05926835665106766,0.9211424304793203,0.019059247932118297,,,,,1140.199827883024,5.57122552520036
412,,,,,,,12.019613739553423,0.11798294352227638,0.8837412553087564,0.006710774147883684,,,,,1129.8436915180216,11.09039669109398
414,,,,,,,11.90154345395569,0.033443417667404295,0.8552683027627852,0.006687454855478862,,,,,1118.7450846718348,3.143681260736004
416,,,,,,,11.726695941486307,0.07595859539545342,0.8183115056755552,0.016815626540590472,,,,,1102.3094184997128,7.1401079671726215
418,,,,,,,11.575447992833098,0.02117421525145357,0.7928630978019805,0.013573053293916393,,,,,1088.0921113263112,1.9903762336366355
420,,,,,,,11.501969783635554,0.03579786590771647,0.7622110363352705,0.021484472395294028,,,,,1081.185159661742,3.364999395325348
422,,,,,,,11.373631211054251,0.04493231410719358,0.7473445137146418,0.03473696901896466,,,,,1069.1213338390996,4.223637526076197
424,0.010509722459752265,1.8301442093096357e-15,,,,,11.257004160673247,0.025708366898355973,0.7213651955644997,0.03216938017523629,,,,,1058.1583911032853,2.4165864884454615
426,,,,,,,11.093882487771126,0.03084583282415384,0.707134985703878,0.016521799566571196,,,,,1042.8249538504858,2.899508285470461
428,,,,,,,11.01261480055693,0.09111074774796996,0.6799134222123953,0.01165235330204184,29.59777724928676,3.2734262435599552e-15,,,1035.1857912523515,8.564410288309176
430,,,,,,,10.893702533923465,0.08441439339395448,0.655247479504244,0.016444721575861083,27.809466014238197,3.399349888776295e-15,,,1024.0080381888056,7.9349529790317215
432,,,,,,,10.77062421809545,0.06458319977646694,0.6351354205735119,0.017496025720634762,24.58731728750563,0.12197540898372333,,,1012.4386765009724,6.070820778987892
434,,,,,,,10.655460353082816,0.019266416101990008,0.6150606602130733,0.013706412563300255,22.354908266529094,0.757283741488995,,,1001.6132731897846,1.8110431135870608
436,,,,,,,10.546811472620737,0.028978162825377258,0.5944136641560492,0.017557823673590538,19.96106522463971,0.058122510321103056,,,991.4002784263492,2.723947305585462
438,,,,,,,10.415763749298629,0.035835078617290766,0.5742339039538217,0.015059673740920416,17.888936661216903,0.06371893560138402,21.9101974725406,0.2869132872568592,979.0817924340711,3.368497390025332
440,,,,,,,10.319508575020786,0.03183281537927805,0.5532375313207614,0.018752520405779384,16.087441953907796,0.16966721217846628,18.803553868677255,0.3489073838034336,970.0338060519539,2.9922846456521364
442,,,,,,,10.193757813838715,0.09599228941651743,0.5341599483445466,0.01755704014841076,14.518365991263648,0.11993147096037228,16.19513264203051,0.49095042294105484,958.2132345008392,9.023275205152638
444,,,,,,,10.08525152253245,0.07495532933769601,0.5216574360776014,0.016432868803810292,13.283519524370057,0.20720294127361738,13.844058573761586,0.3453283146949741,948.0136431180504,7.045800957743425
446,,,,,,,9.976441512907353,0.056281282480642215,0.4997206698622974,0.013425334695155425,12.10111682236979,0.10542182183592783,11.966925458664258,0.31164394121823075,937.7855022132912,5.290440553180368
448,,,,,,,9.872844350130118,0.036985546740807736,0.4828774969410114,0.01171722491546132,11.014263109572843,0.06974740564575148,10.274657839002012,0.2866760134404091,928.047368912231,3.4766413936359273
450,,,,,,,9.766281586282155,0.043495202558208004,0.4636089001128723,0.017249407316403426,10.053268459911017,0.08132142717148061,8.863076140117668,0.22185658945669595,918.0304691105225,4.088549040471553
452,,,,,,,9.634949296952612,0.06264164010780736,0.443673787192519,0.029260281221897125,9.272297921243746,0.05237890257111594,7.696291394732139,0.19033118768657437,905.6852339135455,5.888314170133892
454,,,,,,,9.552221616362766,0.04664434430277745,0.4248978865740373,0.023525842262351528,8.580988579262913,0.07071361740559219,6.791165225961779,0.18141410209514428,897.9088319381001,4.384568364461081
456,,,,,,,9.462439091975332,0.05114543803759798,0.4088846751866015,0.03761285383196124,7.965014257567474,0.061329825076702316,6.047435257251862,0.16119638234076392,889.4692746456813,4.80767117553421
458,,,,,,,9.331780485343629,0.07312802676254287,0.3951578919427717,0.026566192467775893,7.382447574967602,0.03299311226072724,5.446198966216869,0.137879959137789,877.1873656223011,6.87403451567903
460,,,,,,,9.235369284403507,0.0638202378952944,0.3807583583843428,0.02134031077107572,6.914154345055959,0.03783270053760017,4.954561562565773,0.09843964926031082,868.1247127339296,5.999102362157673
