nm	musp[cm-1]	musp_std[cm-1]
1070.0	6.7620000000000005	0.5755620334255792
1072.0	6.734999999999999	0.5733322566742688
1074.0	6.739000000000001	0.5699640881041498
1076.0	6.707	0.5749798064086927
1078.0	6.702	0.5719385704733172
1080.0	6.683	0.5737734314320277
1082.0	6.646999999999999	0.579550421756403
1084.0	6.654999999999999	0.5745926307898708
1086.0	6.627999999999999	0.5783529188699856
1088.0	6.591	0.5735555986051902
1090.0	6.615	0.5680796979384817
1092.0	6.58	0.5741172934746578
1094.0	6.554	0.566522617856701
1096.0	6.552	0.5632804928099737
1098.0	6.542	0.5631831708694937
1100.0	6.523	0.562306186088665
1102.0	6.484999999999999	0.5608781694696758
1104.0	6.489000000000001	0.5671362977688112
1106.0	6.475999999999999	0.5599748010203477
1108.0	6.45	0.5643255124045141
1110.0	6.429	0.5639627647283106
1112.0	6.401	0.5611345869676526
1114.0	6.3870000000000005	0.5556261732895995
1116.0	6.398000000000001	0.554802756631068
1118.0	6.372999999999999	0.5559368025190107
1120.0	6.363	0.554993048560626
1122.0	6.352	0.5636855791119421
1124.0	6.333	0.5565822513062519
1126.0	6.327	0.560029584756439
1128.0	6.314	0.5590634584886444
1130.0	6.296	0.5609402380087243
1132.0	6.273999999999999	0.5564999972269367
1134.0	6.258	0.5547758306038776
1136.0	6.244	0.5565284148569684
1138.0	6.231	0.5510667320841247
1140.0	6.218	0.5510747971906947
1142.0	6.214	0.547635207951109
1144.0	6.196000000000001	0.5460636918488129
1146.0	6.159	0.5457917343492393
1148.0	6.151999999999999	0.5426547910248489
1150.0	6.146000000000001	0.5395991196031951
1152.0	6.118	0.5398993733403784
1154.0	6.104000000000001	0.5383575387288384
1156.0	6.090999999999999	0.5370162422538487
1158.0	6.069	0.5367761333032147
1160.0	6.051	0.5357224497908191
1162.0	6.04	0.5336330639246223
1164.0	6.021999999999999	0.5331542986536257
1166.0	6.0	0.5356270353405013
1168.0	5.972	0.5330775312475546
1170.0	5.954000000000001	0.5365143561182566
1172.0	5.939	0.5310582725924612
