mua[cm-1]	nm
0.05024	1016.0
0.05152	1017.0
0.052790000000000004	1018.0
0.053860000000000005	1019.0
0.05481	1020.0
0.05561	1021.0
0.056310000000000006	1022.0
0.05683	1023.0
0.05734	1024.0
0.0579	1025.0
0.058570000000000004	1026.0
0.059480000000000005	1027.0
0.0605	1028.0
0.06164	1029.0
0.06274	1030.0
0.06389	1031.0
0.06503	1032.0
0.0661	1033.0
0.06717	1034.0
0.06799000000000001	1035.0
0.06871000000000001	1036.0
0.06926	1037.0
0.0697	1038.0
0.07003999999999999	1039.0
0.07029	1040.0
0.07018	1041.0
0.06998	1042.0
0.06967	1043.0
0.06904	1044.0
0.06849999999999999	1045.0
0.06792	1046.0
0.06719	1047.0
0.06662	1048.0
0.06596	1049.0
0.06504	1050.0
0.06419	1051.0
0.06348	1052.0
0.06281	1053.0
0.06212	1054.0
0.06139000000000001	1055.0
0.060450000000000004	1056.0
0.059480000000000005	1057.0
0.05867	1058.0
0.05789	1059.0
0.057050000000000003	1060.0
0.056159999999999995	1061.0
0.05534	1062.0
0.054450000000000005	1063.0
0.05364	1064.0
0.05303	1065.0
0.052590000000000005	1066.0
0.05224	1067.0
0.0518	1068.0
0.051210000000000006	1069.0
0.05065000000000001	1070.0
0.050320000000000004	1071.0
0.05025	1072.0
0.05015	1073.0
0.05005	1074.0
0.04947	1075.0
0.048780000000000004	1076.0
0.04851	1077.0
0.04841	1078.0
0.04816	1079.0
0.04811	1080.0
0.04813	1081.0
0.04798	1082.0
0.04816	1083.0
0.048040000000000006	1084.0
0.04763	1085.0
0.04755	1086.0
0.047619999999999996	1087.0
0.04771	1088.0
0.04797	1089.0
0.048010000000000004	1090.0
0.0478	1091.0
0.047830000000000004	1092.0
0.047830000000000004	1093.0
0.0479	1094.0
0.048369999999999996	1095.0
0.048760000000000005	1096.0
0.048920000000000005	1097.0
0.049109999999999994	1098.0
0.1175150414070388	1123.279352226721
0.1021752700885425	1129.4736842105262
0.1253518769188504	1135.668016194332
0.1457308177406414	1135.668016194332
0.1731082464192877	1137.7327935222672
0.2012511254591162	1145.9919028340082
0.2078533408421842	1145.9919028340082
0.2469012931061498	1145.9919028340082
0.2779234764924106	1145.9919028340082
0.3716151901752411	1152.1862348178138
0.3231065740226682	1152.1862348178138
0.4414279348139956	1154.251012145749
0.5300283082408482	1156.3157894736842
0.6364119381231071	1162.510121
0.7641481571613827	1164.5748987854251
0.7977543093729471	1172.834008097166
0.9077033227533106	1183.157894736842
1.0328058557089124	1183.157894736842
1.1878630004490205	1189.3522267206476
1.2535187691885046	1191.417004048583
1.4417119713804982	1193.4817813765185
1.7125563081073103	1199.676113360324
1.8665001853237424	1210.0
1.731082464192877	1212.0647773279352
1.4730731006568738	1224.4534412955468
1.1878630004490205	1224.4534412955468
1.150131938043358	1224.4534412955468
0.9374813069860548	1230.6477732793524
0.7892166913454511	1230.6477732793524
0.678852936	1230.6477732793524
0.5714909347311979	1236.842105263158
0.5902391838749417	1236.842105263158
0.4811084565435328	1238.906882591093
0.4608413093393003	1238.906882591093
0.3963974400406571	1245.101214574899
0.3094954050454708	1247.165991902834
0.3716151901752411	1249.2307692307693
0.2964576193907456	1253.360324
0.2469012931061498	1257.4898785425105
0.233969301499713	1261.6194331983806
0.2056288809940832	1267.8137651821862
0.1846524780060096	1271.9433198380566
0.1676096678406874	1286.3967611336034
0.1426282676956517	1288.4615384615386
0.1380978495689806	1294.655870445344
0.1213702228990652	1298.7854251012143
0.1175150414070388	1311.174089068826
0.1021752700885425	1319.4331983805669
0.1150131938043358	1331.8218623481782
0.1267079131708693	1350.4048582995952
0.1473073100656874	1352.4696356275304
0.1537856766462377	1358.663967611336
0.1807213015889212	1358.663967611336
0.210101864535752	1358.663967611336
0.2265375435338888	1358.663967611336
0.266215688	1362.7935222672063
0.2779234764924106	1362.7935222672063
0.3231065740226682	1362.7935222672063
0.3756352629660522	1362.7935222672063
0.4094015972620127	1366.923076923077
0.4367037446092809	1366.923076923077
0.5839224060931374	1368.9878542510123
0.5077003661740975	1371.0526315789475
0.6644004325811319	1377.246963562753
0.7641481571613827	1383.4412955465586
0.8883786869040985	1385.5060728744938
1.1135993581813242	1393.7651821862346
1.2401035305418573	1410.2834008097166
1.0782271924832918	1424.7368421052631
0.9476228275528848	1439.1902834008097
0.8063842859660724	1443.319838
0.7641481571613827	1447.4493927125504
0.6715878085868409	1451.5789473684213
0.5966242955331788	1457.7732793522268
0.5415578554908184	1466.0323886639676
0.5131925863036859	1470.161943319838
0.4510301846424747	1472.2267206477734
0.4094015972620127	1476.3562753036435
0.3838063444833705	1484.6153846153843
0.3598112734558099	1497.004048582996
0.3337063616686572	1497.004048582996
0.3196486666459639	1509.3927125506077
0.2964576193907456	1523.8461538461538
0.2901461568282064	1536.234817813765
0.2522720630833124	1546.5587044534414
0.2217146510477313	1556.8825910931173
0.2169944359878856	1571.336032388664
0.2056288809940832	1583.7246963562752
0.182676315	1600.2429149797572
0.2078533408421842	1604.3724696356276
0.2314653469577003	1606.4372469635628
0.2469012931061498	1612.6315789473683
0.2779234764924106	1614.6963562753035
0.29966465	1625.020243
0.3483822941813564	1633.279352226721
0.4094015972620127	1639.4736842105262
0.4863130097122757	1651.8623481781378
0.6364119381231071	1653.927125506073
0.5653748019198978	1655.9919028340082
0.7559701943404894	1660.1214574898786
1.0	1660.1214574898786
0.8883786869040985	1662.1862348178138
1.4110185078357504	1676.639676
1.6228574510321774	1678.7044534412958
2.1699443598788557	1680.769230769231
2.495722312073721	1682.8340080971657
1.948586216341488	1682.8340080971657
2.932849108	1684.8987854251009
3.061831652762862	1689.0283400809717
3.5981127345580988	1689.0283400809717
3.879582992020957	1689.0283400809717
4.759596028381914	1695.2226720647773
4.6084130933930005	1695.2226720647773
6.228629858982599	1697.2874493927125
7.478797526047073	1705.5465587044532
9.578740574425996	1709.6761133603236
8.509548973703572	1713.8056680161944
11.135993581813242	1717.9352226720648
9.578740574425996	1728.2591093117408
8.328384124974097	1730.323886639676
7.977543093729467	1732.3886639676111
6.861966573053275	1742.7125506072875
6.030784802926294	1744.7773279352227
7.163746131066384	1765.4251012145746
6.161970660848717	1769.5546558704457
5.357620684224857	1773.6842105263158
5.131925863036854	1775.748987854251
4.5103018464247455	1781.9433198380566
4.183071877492683	1792.2672064777323
4.050201549856091	1800.5263157894738
3.75635262966052	1810.8502024291497
3.4838229418135644	1825.3036437246965
3.2660188847993816	1827.368421052632
3.061831652762862	1833.5627530364368
2.6621568808633813	1850.0809716599188
2.365003434	1856.2753036437243
2.101018645357522	1864.5344129554653
2.289881898985551	1870.728744939271
2.522720630833123	1872.7935222672063
1.9909732294550249	1872.7935222672063
1.8866916812782677	1883.1174089068825
1.9909732294550249	1887.246963562753
2.101018645357522	1893.4412955465584
2.1699443598788557	1903.7651821862344
2.2653754353388886	1907.8947368421052
2.0785334084218423	1909.95951417004
2.289881898985551	1909.95951417004
2.365003434	1920.2834008097168
2.3905876573160803	1926.477732793522
2.4690129310614983	1938.8663967611333
2.3905876573160803	1947.1255060728745
2.289881898985551	1955.3846153846152
2.289881898985551	1959.5141700404856
2.146721475504683	1973.9676113360324
2.101018645357522	1980.161943319838
2.101018645357522	1986.3562753036435
2.146721475504683	1994.6153846153843
2.314653469577003	2002.874493927125
2.314653469577003	2011.1336032388665
2.1699443598788557	2015.2631578947369
2.289881898985551	2025.587044534413
2.0785334084218423	2025.587044534413
2.241131241445409	2033.8461538461536
2.1237471239356034	2035.910931174089
2.0785334084218423	2042.1052631578943
2.012511254591161	2042.1052631578943
1.8866916812782677	2044.1700404858295
2.012511254591161	2058.6234817813765
2.012511254591161	2066.8825910931173
1.731082464192877	2068.9473684210525
1.640413259445668	2077.206477732793
1.826763152870829	2089.595141700405
2.0562888099408347	2095.7894736842104
2.241131241445409	2099.919028340081
2.495722312073721	2101.983805668016
2.605480639842132	2106.1133603238864
2.932849108	2110.2429149797567
3.029063733105575	2118.502024291498
3.4096537633759847	2120.566801619433
3.716151901752412	2130.890688259109
3.879582992020957	2145.344129554656
3.2660188847993816	2151.538461538461
3.5981127345580988	2153.6032388663966
2.932849108	2155.668016194332
2.749491215371475	2161.8623481781374
2.577596618133126	2163.927125506073
2.6621568808633813	2180.4453441295545
2.522720630833123	2186.639676
2.690955661765156	2186.639676
2.3905876573160803	2188.7044534412958
2.241131241445409	2199.028340080972
2.550011013021339	2207.2874493927125
2.4164486464502777	2207.2874493927125
2.720065983202876	2213.481781376518
3.0949540504547066	2221.740890688259
3.838063444833701	2227.9352226720644
3.4838229418135644	2229.9999999999995
4.6084130933930005	2234.1295546558704
4.228323669887887	2236.1943319838056
5.474163404426361	2240.323886639676
6.502556166530117	2242.388663967611
7.641481571613828	2246.518218623481
9.27448321625868	2254.7773279352223
10.552721725608633	2254.7773279352223
12.137022289906506	2263.0364372469635
13.959176968365608	2263.0364372469635
16.054895260116545	2269.230769230769
18.26763152870828	2269.230769230769
23.146534695770026	2279.554655870445
20.125112545911627	2279.554655870445
26.33666306370656	2291.9433198380566
28.704099396033996	2294.008097165992
31.96486666459639	2296.0728744939265
35.98112734558099	2298.137651821862
41.38304372695793	2302.2672064777325
46.084130933930005	2310.5263157894733
39.21551690928451	2312.591093117409
34.838229418135626	2314.655870445344
30.618316527628604	2318.7854251012145
