nm,mua_oxy[mm-1],mua_deoxy[mm-1],mus_oxy[mm-1],g
"1,420",2.13,2.08,39.08,0.9695
"1,425",2.24,2.27,38.2,0.9694
"1,430",2.33,2.36,38.15,0.9697
"1,435",2.38,2.43,38.11,0.9692
"1,440",2.38,2.5,38.01,0.9686
"1,445",2.4,2.51,37.53,0.9683
"1,450",2.41,2.48,37.05,0.9685
"1,455",2.4,2.44,37.24,0.9686
"1,460",2.38,2.37,37.36,0.9685
"1,465",2.4,2.35,37.11,0.9682
"1,470",2.34,2.33,36.85,0.9684
"1,475",2.27,2.29,36.77,0.9689
"1,480",2.2,2.24,36.72,0.9693
"1,485",2.06,2.17,36.32,0.9684
"1,490",1.89,2.07,35.91,0.9681
"1,495",1.78,1.95,35.7,0.9682
"1,500",1.71,1.82,35.56,0.9683
"1,505",1.63,1.73,35.19,0.9685
"1,510",1.5,1.63,35.07,0.9687
"1,515",1.39,1.54,34.99,0.969
"1,520",1.34,1.49,34.98,0.9693
"1,525",1.27,1.42,34.88,0.9688
"1,530",1.21,1.33,34.72,0.9683
"1,535",1.15,1.23,34.54,0.9686
"1,540",1.11,1.14,34.33,0.9688
"1,545",1.07,1.09,34.11,0.9685
"1,550",1.03,1.05,33.98,0.9683
"1,555",0.97,1.01,33.9,0.9686
"1,560",0.91,0.97,33.82,0.9683
"1,565",0.85,0.92,33.73,0.9685
"1,570",0.82,0.87,33.63,0.9694
"1,575",0.79,0.82,33.53,0.9691
"1,580",0.75,0.78,33.37,0.9688
"1,585",0.73,0.75,32.93,0.9684
"1,590",0.72,0.71,32.6,0.9683
"1,595",0.7,0.69,32.55,0.9682
"1,600",0.69,0.67,32.48,0.9681
"1,605",0.67,0.65,32.44,0.9681
"1,610",0.66,0.64,32.4,0.9682
"1,615",0.64,0.62,32.32,0.9683
"1,620",0.64,0.62,32.21,0.9684
"1,625",0.63,0.61,31.76,0.9684
"1,630",0.63,0.61,31.5,0.9685
"1,635",0.62,0.61,31.38,0.9685
"1,640",0.62,0.61,31.21,0.9685
"1,645",0.62,0.6,31.08,0.9684
"1,650",0.6,0.59,31.02,0.9682
"1,655",0.58,0.57,31.1,0.9681
"1,660",0.57,0.56,31.17,0.9679
"1,665",0.57,0.56,30.97,0.9671
"1,670",0.57,0.56,30.75,0.9663
"1,675",0.57,0.56,30.48,0.9663
"1,680",0.57,0.56,30.23,0.9663
"1,685",0.57,0.57,30.02,0.9662
"1,690",0.58,0.58,29.81,0.966
"1,695",0.59,0.58,29.66,0.966
"1,700",0.6,0.59,29.65,0.966
"1,705",0.6,0.59,29.75,0.966
"1,710",0.61,0.6,29.75,0.966
"1,715",0.61,0.61,29.4,0.966
"1,720",0.62,0.61,29.08,0.9659
"1,725",0.62,0.62,28.89,0.9658
"1,730",0.64,0.63,28.71,0.9657
"1,735",0.65,0.64,28.55,0.9655
"1,740",0.67,0.65,28.49,0.9653
"1,745",0.69,0.66,28.56,0.9651
"1,750",0.71,0.68,28.62,0.965
"1,755",0.74,0.72,28.43,0.9652
"1,760",0.76,0.75,28.23,0.9649
"1,765",0.78,0.79,28,0.964
"1,770",0.81,0.81,27.76,0.9633
"1,775",0.83,0.82,27.59,0.9634
"1,780",0.84,0.83,27.49,0.9635
